"YearBuilt","YearRemodeled","Condition","NumStories","FinSqFt","Bedroom","FullBath","HalfBath","TotalRooms","LotSize","TotalValue","City"
1931,NA,"Average",1.5,13691,8,6,0,15,NA,NA,NA
1940,1981,"Average",1,5129,0,0,0,0,NA,NA,NA
1952,1980,"Average",1,3513,0,3,0,12,NA,NA,NA
1931,NA,"Average",1,1716,0,0,0,0,NA,NA,NA
1939,NA,"Average",2,1596,3,2,0,5,55.955,583700,"FREE UNION"
1986,NA,"Average",1,2192,7,3,0,9,NA,NA,NA
2001,NA,"Good",1,4056,7,4,0,14,NA,NA,NA
1981,NA,"Average",1,1616,6,4,0,9,5.167,406100,"FREE UNION"
NA,NA,NA,NA,0,NA,NA,NA,NA,8.49,92200,NA
NA,NA,NA,NA,0,NA,NA,NA,NA,20.35,160600,NA
1991,2021,"Excellent",1.5,5195,3,3,1,9,NA,NA,NA
1991,NA,"Average",1.3,750,1,1,0,3,NA,NA,NA
1999,NA,"Average",1,480,0,0,0,1,80.75,357900,NA
1754,NA,"Very Poor",1,836,1,0,0,3,80.718,355500,"DYKE"
1880,NA,"Fair",2,1224,2,1,0,4,65,648900,"DYKE"
1769,1988,"Average",1.7,5216,4,3,0,8,5.102,1169200,"CROZET"
1984,NA,"Average",1.3,1144,3,2,0,6,NA,NA,NA
1993,NA,"Average",1.1,1244,2,1,0,0,NA,NA,NA
1818,1991,"Average",2,5160,6,4,1,11,453.893,3132400,"CROZET"
1935,1994,"Average",2,1408,3,1,0,5,266.166,1726200,"FREE UNION"
1880,1978,"Average",1.5,1458,3,1,0,6,74.5,646700,"FREE UNION"
2005,NA,"Average",1.5,1888,3,3,0,6,5,378600,"FREE UNION"
1913,NA,"Poor",1.5,1062,3,1,0,6,NA,NA,NA
2009,NA,"Average",2,2798,3,3,1,7,NA,NA,NA
2004,NA,"Average",1,1512,3,2,1,9,42.59,723300,"CROZET"
2007,NA,"Average",1.5,1760,3,2,0,0,5,383100,"CROZET"
2006,NA,"Average",1,2019,3,3,0,10,5,491300,"CROZET"
2004,NA,"Average",1.5,1950,3,3,0,8,5.5,430400,"CROZET"
1995,NA,"Average",2.3,2579,3,2,1,8,7.5,509400,"CROZET"
1900,NA,"Very Poor",2,1530,4,1,0,6,18.5,262600,"CROZET"
1960,NA,"Average",1,800,2,1,0,4,1.5,160400,"CROZET"
1966,NA,"Average",1,975,2,1,0,4,0.96,172800,"CROZET"
1980,NA,"Very Poor",1,1600,0,1,0,0,12.7,189800,"CROZET"
2001,NA,"Average",1,2785,3,2,0,0,2.963,385800,"CROZET"
1912,NA,"Poor",1.7,3092,5,1,0,8,NA,NA,NA
1991,NA,"Average",1,1536,2,2,0,4,NA,NA,NA
1972,NA,"Average",1,960,2,1,0,4,40,513700,"CROZET"
1998,NA,"Average",1,1120,3,2,1,5,NA,NA,NA
2004,NA,"Average",1.9,4200,3,4,1,0,NA,NA,NA
1951,NA,"Average",1.2,1616,0,1,0,5,NA,NA,NA
1935,NA,"Average",1.5,1632,3,2,1,5,NA,NA,NA
1935,NA,"Average",1.5,2604,6,3,0,8,NA,NA,NA
1998,NA,"Average",1,1118,1,2,0,6,30,498400,"CROZET"
2008,NA,"Average",1.5,1600,2,2,1,4,22.143,596400,"CROZET"
1982,NA,"Average",1.3,2004,4,2,0,6,5.627,282200,"CROZET"
1900,NA,"Very Poor",1,1104,3,1,0,5,5.04,99500,"CROZET"
1996,NA,"Average",1.3,887,2,1,0,3,12.3,475100,"CROZET"
1940,NA,"Fair",1,618,1,1,0,3,3.67,150900,"CROZET"
1976,NA,"Average",1,2468,4,3,0,8,NA,NA,NA
2004,NA,"Good",1.3,1193,2,2,0,0,NA,NA,NA
1936,1992,"Average",1,864,2,1,0,4,211,1277100,"CROZET"
1994,NA,"Average",1.5,2126,4,4,1,7,34.8,795500,"CROZET"
2006,NA,"Average",1,1916,3,2,1,10,14.85,503800,"CROZET"
1895,NA,"Average",1.3,1218,3,1,0,5,6,166600,"CROZET"
1986,NA,"Average",1,1152,3,2,0,5,2,196900,"CROZET"
1940,NA,"Very Poor",1,1107,3,0,0,5,96,807300,"CROZET"
